time1 time2 time3 time4 time5
RPS6 -0.0600473836699389 -0.398350370345965 -0.396378726979646 -0.697506958554785 -0.533363998339815
SUN1 -0.0361868028478463 -0.259664183948651 -0.579855951350684 -0.362441834125645 0.0679237061463067
ZNF281 -0.189286906583612 -0.383718114635775 -0.4015212501086 -1.02311338270357 -0.547252389012155
PKMYT1 -0.0497701518163845 -0.512479746919633 -0.253626278421377 -0.253021095711513 -0.361880627038438
DDX52 -0.0907179597677998 -0.774502445109659 -1.01435529297707 -0.810319703411077 -1.04663074794016
SLC29A1 0.171270942210401 0.00980025685470464 -0.385265359350681 -1.01242564831796 -0.946131951910697
MORF4L1 -0.0280032784727525 -0.122606462651041 -0.320657964311925 -0.668482249541329 0.106218439517076
MRPS25 -0.0294175468350917 -0.548436624696042 -0.235727059838058 -0.428571222085267 -0.137110007802351
KIF20A -0.0363274918177651 -1.13158948432814 -1.06350294230616 -0.961475162009635 -1.08426840530353
SLC25A32 0.490699401713304 0.00533339086989199 -0.239764626510947 -0.17210342844014 -0.188654117836729
OSBPL5 -0.0941009164388664 -0.0919367382105852 -0.313942357292346 -0.539133990334676 -0.445091014844044
PES1 -0.0688771408503078 -0.267356011783887 -0.438292851579147 -0.307428525192247 -0.786930861090286
GTPBP4 -0.0554733358984315 -0.592636428606577 -0.725348533004212 -0.869160738400117 -1.3193867145441
ARHGAP19 0.000144276718044916 -0.685536540934353 -0.84478735007906 -1.03322916078511 -1.13441810556385
REPIN1 -0.00504061670053016 -0.071076162010959 -0.135797512223391 -0.758047281833234 -0.160274831408593
RPL37A -0.110229592423189 -0.451962766205277 -0.425029547526286 -0.747602230274943 -0.573374526445944
ARHGAP31 -0.543198900193333 -1.02658762234808 -0.748547105153157 -1.51404649301492 -1.74996325816927
MKI67IP -0.16478627814334 -0.273217473103496 -0.681134379346846 -1.00194632483134 -0.876330305006464
NUCB1 0.310092575381907 0.439872023918736 0.32725786566604 0.181934792983998 -0.196355242882748
RPL24 0.0339682855034758 -0.457331625485014 -0.354113592492377 -0.358733826605284 -0.530270547646204
RTTN -0.00776959414591767 0.0140624556057572 -0.33124659930012 -0.0941009164388664 -0.652509440183664
CSNK1A1;CSNK1A1L 0.0228300003098735 -0.0329471640991291 -0.277627747659005 -0.445514838302112 -0.606157925235646
COX7A2L -3.22677053396175 -3.59490679026094 0.0593145364837287 -0.30579546142049 0.195450754705528
RPL14 -0.0440443327060211 -0.573277567876004 -0.488926267524134 -0.691802132918155 -0.912036637093108
CLSPN NA 0.589376680168569 -0.546067180450209 -0.149129269909933 -0.260266586997568
NCAPG2 0.504345765475365 -0.0651586751285469 0.318739658018461 0.0913868934244379 -0.108089491840297
PCYOX1L 1.11628535294191 0.759526906614784 0.439461113968804 0.157093556120337 0.33486195170318
SDAD1 -0.0773797407970136 -0.336854639125465 0.0833552101777204 -0.250719083400555 -0.643394453479892
CDCA2 -0.14535138557262 -1.08093048767298 -1.36361965889157 -2.11219968930066 -1.91651486101872
KIF3A 0.157463595498761 0.0781219400338306 -0.28012489197573 -0.604261139476106 -0.638676282800239
TRIM36 0.176609320330711 -0.051580920630645 -0.640435836619588 -0.690998079556908 -0.826843351648964
DNAJB6 0.0267634514215136 -0.961475162009635 -1.29413548067533 -1.36681177312713 -1.30544527855355
UBTF -0.0160683686276536 -0.0795658498102748 -0.504671235385739 -0.828387862616422 -1.00547185121006
RPL8 -0.0107798387532428 -0.490775481672922 -0.313710226150914 -0.687687810732244 -0.787683200845319
UPRT 0.47689978023782 -0.0243196791954129 -0.0297002342154199 0.0216432661620701 0.129276254327812
RPL35 -0.0377336274465149 -0.411643176039014 -0.273098089178491 -0.532067552289031 -0.609660418115207
DTL 0.188907161325854 -0.135928815526407 0.0850834559451201 -0.522055749160964 -0.631709644785603
RRN3 -0.155619721026447 0.0167601047310122 -0.389676936951962 -0.832606509390414 -0.762221231959501
POLE 0.403522777299489 0.147441777426964 0.029912060480666 -0.00201836053430566 -0.112366523072563
RRP12 -0.0371713376446436 -0.350384090094319 -0.219834523885371 -0.34255474547732 -0.736041973749968
ZNF423 -0.0411027718191281 0.377388201332926 -0.0441842575440038 -0.465817783231713 -0.315450299984932
RBM38;RBM24 0.0204867736599172 0.116723282100586 -0.106616328987784 -0.502941568004457 -0.679513879286544
SLBP 0.151810746929081 -0.208392399790676 -0.439889047619779 -0.653885488716646 -0.77534558407404
VAMP2 0.046488899759827 -0.0709388213434375 NA -0.577440913388613 0.145190447490818
HBA2;HBA1 -0.357833478629491 -0.0939657503694475 -0.336169110464009 -0.253021095711513 -0.35501626421955
DDX24 -0.0688771408503078 -0.559540758771391 -0.744763886953294 -0.820403647862436 -0.959918496689248
PTPRF 0.402378250491787 0.134888845742377 -0.0453031679565721 0.0286900551071001 0.082713380729515
RPL18 -0.0260209707143701 0.198543314310181 -0.624802765252947 -0.38316512484753 -1.36653204553713
PPP2R5C 0.00219456475421272 0.04805418672674 -0.0229004021100788 -0.220453786049186 -0.835439053224125
RPL28 -0.00345831977241101 -0.338110596266224 -0.241230035515445 -0.458486999974326 -0.656908183473337
POU2F1;POU2F3;POU2F2 -0.0304067104260457 0.0239737047044089 -0.544188606646971 -0.848317469836102 -1.11176583118223
